"weblink","record_name","filetype"
"http://www.tupc.gov.taipei/public/Data/03311457571.doc","tpup臺北市都市計畫委員會第602次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/03311503371.doc","tpup臺北市都市計畫委員會第601次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/0331152171.doc","tpup臺北市都市計畫委員會第600次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/03311542371.doc","tpup臺北市都市計畫委員會第599次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115132971.doc","tpup臺北市都市計畫委員會第598次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/03311511871.doc","tpup臺北市都市計畫委員會第597次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/033115161486.doc","tpup臺北市都市計畫委員會第596次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115182171.doc","tpup臺北市都市計畫委員會第595次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115194871.doc","tpup臺北市都市計畫委員會第594次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115241671.doc","tpup臺北市都市計畫委員會第593次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/03311528971.doc","tpup臺北市都市計畫委員會第592次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115305071.doc","tpup臺北市都市計畫委員會第591次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115323971.doc","tpup臺北市都市計畫委員會第590次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115395771.doc","tpup臺北市都市計畫委員會第589次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115414271.doc","tpup臺北市都市計畫委員會第588次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/03311543471.doc","tpup臺北市都市計畫委員會第587次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033115452271.doc","tpup臺北市都市計畫委員會第586次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033116105071.doc","tpup臺北市都市計畫委員會第585次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033116232171.doc","tpup臺北市都市計畫委員會第584次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/04115491471.doc","tpup臺北市都市計畫委員會第583次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/04115514171.doc","tpup臺北市都市計畫委員會第582次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/0411554871.doc","tpup臺北市都市計畫委員會第581次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/04115551071.doc","tpup臺北市都市計畫委員會第580次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/04115563371.doc","tpup臺北市都市計畫委員會第579次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/053174202.doc","tpup臺北市都市計畫委員會第578次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/0531875471.doc","tpup臺北市都市計畫委員會第577次委員會續會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/05318151971.doc","tpup臺北市都市計畫委員會第577次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/081917185623.doc","tpup臺北市都市計畫委員會第576次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011128484668.doc","tpup臺北市都市計畫委員會第575次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/01112851277.doc","tpup臺北市都市計畫委員會第574次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011128535713.doc","tpup臺北市都市計畫委員會第573次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011128581547.doc","tpup臺北市都市計畫委員會第572次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/01112903731.doc","tpup臺北市都市計畫委員會第571次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111292286.doc","tpup臺北市都市計畫委員會第570次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/01112942838.doc","tpup臺北市都市計畫委員會第569次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/01112955797.doc","tpup臺北市都市計畫委員會第568次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/01112975846.doc","tpup臺北市都市計畫委員會第567次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011129125356.doc","tpup臺北市都市計畫委員會第566次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011129162354.doc","tpup臺北市都市計畫委員會第565次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011129185893.doc","tpup臺北市都市計畫委員會第564次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011129203336.doc","tpup臺北市都市計畫委員會第563次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011129273685.doc","tpup臺北市都市計畫委員會第562次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011129344090.doc","tpup臺北市都市計畫委員會第561次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/01112932944.doc","tpup臺北市都市計畫委員會第560次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011129363683.doc","tpup臺北市都市計畫委員會第559次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011129581886.doc","tpup臺北市都市計畫委員會第558次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121015225.doc","tpup臺北市都市計畫委員會第557次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121034526.doc","tpup臺北市都市計畫委員會第556次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210103624.doc","tpup臺北市都市計畫委員會第555次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210121319.doc","tpup臺北市都市計畫委員會第554次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121014638.doc","tpup臺北市都市計畫委員會第553次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210214194.doc","tpup臺北市都市計畫委員會第552次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121022596.doc","tpup臺北市都市計畫委員會第551次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210251212.doc","tpup臺北市都市計畫委員會第550次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210264583.doc","tpup臺北市都市計畫委員會第549次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121030353.doc","tpup臺北市都市計畫委員會第548次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210324892.doc","tpup臺北市都市計畫委員會第547次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210341557.doc","tpup臺北市都市計畫委員會第546次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210353367.doc","tpup臺北市都市計畫委員會第545次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210365932.doc","tpup臺北市都市計畫委員會第544次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210383817.doc","tpup臺北市都市計畫委員會第543次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210403391.doc","tpup臺北市都市計畫委員會第542次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210433984.doc","tpup臺北市都市計畫委員會第541次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111210454330.doc","tpup臺北市都市計畫委員會第540次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121542931.doc","tpup臺北市都市計畫委員會第539次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121544234.doc","tpup臺北市都市計畫委員會第538次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121546384.doc","tpup臺北市都市計畫委員會第537次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0111215481165.doc","tpup臺北市都市計畫委員會第536次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53611463934.doc","tpup臺北市都市計畫委員會第500次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/011121550497.doc","tpup臺北市都市計畫委員會第535次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/01216173521.doc","tpup臺北市都市計畫委員會第534次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/012161784578.doc","tpup臺北市都市計畫委員會第533次委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0121617243463.doc","tpup臺北市都市計畫委員會第532次委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0121617241535.doc","tpup臺北市都市計畫委員會第531次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0121617235417.doc","tpup臺北市都市計畫委員會第530次委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361020395.doc","tpup臺北市都市計畫委員會第529次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53610222751.doc","tpup臺北市都市計畫委員會第528次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53610241243.doc","tpup臺北市都市計畫委員會第527次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53610265100.doc","tpup臺北市都市計畫委員會第526次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53610312349.doc","tpup臺北市都市計畫委員會第525次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361033832.doc","tpup臺北市都市計畫委員會第524次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53610344527.doc","tpup臺北市都市計畫委員會第523次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53610373928.doc","tpup臺北市都市計畫委員會第521次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/536103675.doc","tpup臺北市都市計畫委員會第522次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361042827.doc","tpup臺北市都市計畫委員會第520次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/536104483.doc","tpup臺北市都市計畫委員會第519次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361045343.doc","tpup臺北市都市計畫委員會第518次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361056122.doc","tpup臺北市都市計畫委員會第517次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361053221.doc","tpup臺北市都市計畫委員會第516次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53610591442.doc","tpup臺北市都市計畫委員會第515次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361101924.doc","tpup臺北市都市計畫委員會第514次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361124015.doc","tpup臺北市都市計畫委員會第513次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361153740.doc","tpup臺北市都市計畫委員會第512次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361171625.doc","tpup臺北市都市計畫委員會第511次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361185012.doc","tpup臺北市都市計畫委員會第510次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53611102363.doc","tpup臺北市都市計畫委員會第509次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53611143515.doc","tpup臺北市都市計畫委員會第508次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/5361116534.doc","tpup臺北市都市計畫委員會第507次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53611333225.doc","tpup臺北市都市計畫委員會第506次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53611343782.doc","tpup臺北市都市計畫委員會第505次委員會議紀錄","doc"
