"filelink","filename","filetype"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115458-1.pdf","高雄縣都市計畫委員會第111次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20080722150030-1.pdf","第327次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20080619141125-1.pdf","第326次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115418-1.pdf","高雄縣都市計畫委員會第110次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20080606095731-1.pdf","第325次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115307-1.pdf","高雄縣都市計畫委員會第109次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20080505174943-1.pdf","第324次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115148-1.pdf","高雄縣都市計畫委員會第108次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20080318115432-1.pdf","第323次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115050-1.pdf","高雄縣都市計畫委員會第107次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516114926-1.pdf","高雄縣都市計畫委員會第106次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20071226174606-1.pdf","第322次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20071106161805-1.pdf","第321次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516114830-1.pdf","高雄縣都市計畫委員會第105次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20071030134507-1.pdf","第320次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516114727-1.pdf","高雄縣都市計畫委員會第104次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20071030134153-1.pdf","第319次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516131101-1.pdf","高雄縣都市計畫委員會第103次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20071030133545-1.pdf","第318次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/317.pdf","第317次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/316.pdf","第316次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/315.pdf","第315次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/314.pdf","第314次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/313.pdf","第313次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/312.pdf","第312次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/311.pdf","第311次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/310.pdf","第310次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/309.pdf","第309次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/308.pdf","第308次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/307.pdf","第307次大會","pdf"
