"weblink","record_name"
"http://www.tupc.gov.taipei/public/Data/04115563371.doc","臺北市都市計畫委員會第579次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/053174202.doc","臺北市都市計畫委員會第578次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/0531875471.doc","臺北市都市計畫委員會第577次委員會續會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/05318151971.doc","臺北市都市計畫委員會第577次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229080&ctNode=6308&mp=120021","臺北市都市計畫委員會第576次委員會會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398858&ctNode=6308&mp=120021","臺北市都市計畫委員會第575次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398859&ctNode=6308&mp=120021","臺北市都市計畫委員會第574次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398864&ctNode=6308&mp=120021","臺北市都市計畫委員會第573次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398870&ctNode=6308&mp=120021","臺北市都市計畫委員會第572次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398872&ctNode=6308&mp=120021","臺北市都市計畫委員會第571次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398874&ctNode=6308&mp=120021","臺北市都市計畫委員會第570次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398876&ctNode=6308&mp=120021","臺北市都市計畫委員會第569次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398877&ctNode=6308&mp=120021","臺北市都市計畫委員會第568次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398880&ctNode=6308&mp=120021","臺北市都市計畫委員會第567次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398882&ctNode=6308&mp=120021","臺北市都市計畫委員會第566次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398884&ctNode=6308&mp=120021","臺北市都市計畫委員會第565次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398887&ctNode=6308&mp=120021","臺北市都市計畫委員會第564次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398888&ctNode=6308&mp=120021","臺北市都市計畫委員會第563次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398897&ctNode=6308&mp=120021","臺北市都市計畫委員會第562次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398902&ctNode=6308&mp=120021","臺北市都市計畫委員會第561次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398907&ctNode=6308&mp=120021","臺北市都市計畫委員會第560次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398913&ctNode=6308&mp=120021","臺北市都市計畫委員會第559次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398942&ctNode=6308&mp=120021","臺北市都市計畫委員會第558次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398947&ctNode=6308&mp=120021","臺北市都市計畫委員會第557次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398949&ctNode=6308&mp=120021","臺北市都市計畫委員會第556次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398956&ctNode=6308&mp=120021","臺北市都市計畫委員會第555次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398959&ctNode=6308&mp=120021","臺北市都市計畫委員會第554次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398961&ctNode=6308&mp=120021","臺北市都市計畫委員會第553次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398966&ctNode=6308&mp=120021","臺北市都市計畫委員會第552次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398968&ctNode=6308&mp=120021","臺北市都市計畫委員會第551次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398970&ctNode=6308&mp=120021","臺北市都市計畫委員會第550次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398971&ctNode=6308&mp=120021","臺北市都市計畫委員會第549次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398975&ctNode=6308&mp=120021","臺北市都市計畫委員會第548次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398977&ctNode=6308&mp=120021","臺北市都市計畫委員會第547次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398979&ctNode=6308&mp=120021","臺北市都市計畫委員會第546次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398980&ctNode=6308&mp=120021","臺北市都市計畫委員會第545次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398983&ctNode=6308&mp=120021","臺北市都市計畫委員會第544次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398985&ctNode=6308&mp=120021","臺北市都市計畫委員會第543次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398988&ctNode=6308&mp=120021","臺北市都市計畫委員會第542次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398989&ctNode=6308&mp=120021","臺北市都市計畫委員會第541次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1398993&ctNode=6308&mp=120021","臺北市都市計畫委員會第540次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1399105&ctNode=6308&mp=120021","臺北市都市計畫委員會第539次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1399167&ctNode=6308&mp=120021","臺北市都市計畫委員會第538次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1399169&ctNode=6308&mp=120021","臺北市都市計畫委員會第537次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1399171&ctNode=6308&mp=120021","臺北市都市計畫委員會第536次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98749717&ctNode=6308&mp=120021","臺北市都市計畫委員會第500次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1399172&ctNode=6308&mp=120021","臺北市都市計畫委員會第535次委員會議紀錄"
