"link","name","type"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012110918589.pdf&mfkind_id=00038 &mf_id=22283345","101.10.18 新北市都市計畫委員會第25次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012100148668.pdf&mfkind_id=00038&mf_id=22283249","101.09.13 新北市都市計畫委員會第24次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012090676622.pdf&mfkind_id=00038&mf_id=22283187","101.08.22 新北市都市計畫委員會第23次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012080972186.pdf&mfkind_id=00038&mf_id=22283159","101.07.26 新北市都市計畫委員會第22次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012070633871.pdf&mfkind_id=00038&mf_id=22283115","101.06.28 新北市都市計畫委員會第21次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012061805594.pdf&mfkind_id=00038&mf_id=22283054","101.05.31 新北市都市計畫委員會第20次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012050134637.pdf&mfkind_id=00038 &mf_id=22282738","101.04.19 新北市都市計畫委員會第19次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012041303594.pdf&mfkind_id=00038&mf_id=22282614","101.03.08 新北市都市計畫委員會第17次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012021321508.pdf&mfkind_id=00038&mf_id=22282492","101.02.01 新北市都市計畫委員會第16次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012011629424.pdf&mfkind_id=00038&mf_id=22282473","100.12.29 新北市都市計畫委員會第15次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012010386811.pdf&mfkind_id=00038 &mf_id=22282443","100.12.14 新北市都市計畫委員會第14次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012010382227.pdf&mfkind_id=00038 &mf_id=22282442","100.11.24 新北市都市計畫委員會第13次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2011111736110.pdf&mfkind_id=00038 &mf_id=22282359","100.10.28 新北市都市計畫委員會第12次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2015050687999.pdf&mfkind_id=00038 &mf_id=22285053","101.03.29新北市都市計畫委員會第18次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012091565950.pdf&mfkind_id=00038&mf_id=22283210","94.08.18 縣都委會第345次會議紀錄-pdf","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2011102152550.pdf&mfkind_id=00038&mf_id=22282301","100.10.14 新北市都市計畫委員會第11次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003808292084.pdf&mfkind_id=00038 &mf_id=22282294","100.09.28新北市都市計劃委員會第10次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2011100609944.pdf&mfkind_id=00038&mf_id=22282292","100.09.15 新北市都市計畫委員會第9次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2011081806293.pdf&mfkind_id=00038 &mf_id=22282180","100.08.09 新北市都市計畫委員會第8次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2011072787369.pdf&mfkind_id=00038&mf_id=22282159","100.07.05 新北市都市計畫委員會第7次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2011062166874.pdf&mfkind_id=00038&mf_id=22282057","100.06.09 新北市都市計畫委員會第6次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2011060218111.pdf&mfkind_id=00038&mf_id=22282041","100.05.19 新北市都市計畫委員會第5次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003835456618.pdf&mfkind_id=00038&mf_id=00038188","100.03.29 新北市都市計畫委員會第4次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003810888115.pdf&mfkind_id=00038&mf_id=00038187","100.03.10 新北市都市計畫委員會第3次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003837363440.pdf&mfkind_id=00038&mf_id=00038186","100.02.24 新北市都市計畫委員會第2次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003842828801.pdf&mfkind_id=00038&mf_id=00038185","100.01.27 新北市都市計畫委員會第1次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003869240298.pdf&mfkind_id=00038&mf_id=00038184","99.12.16 縣都委會第407次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003834974379.pdf&mfkind_id=00038&mf_id=00038183","99.11.25 縣都委會第406次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003840904574.pdf&mfkind_id=00038&mf_id=00038182","99.11.11 縣都委會第405次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003870421541.pdf&mfkind_id=00038&mf_id=00038181","99.10.21 縣都委會第404次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003872717631.pdf&mfkind_id=00038&mf_id=00038180","99.09.23 縣都委會第403次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003888153432.pdf&mfkind_id=00038&mf_id=00038179","99.08.30 縣都委會第402次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003849974318.pdf&mfkind_id=00038&mf_id=00038178","99.07.26 縣都委會第401次會議紀錄-2","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003839720047.pdf&mfkind_id=00038&mf_id=00038177","99.07.26 縣都委會第401次會議紀錄-1","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003827663074.pdf&mfkind_id=00038&mf_id=00038176","99.06.24 縣都委會第400次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003878076990.pdf&mfkind_id=00038&mf_id=00038175","99.05.13 縣都委會第399次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003895595418.pdf&mfkind_id=00038&mf_id=00038174","99.04.15 縣都委會第398次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003853711496.pdf&mfkind_id=00038&mf_id=00038173","99.03.18 縣都委會第397次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003801963585.pdf&mfkind_id=00038&mf_id=00038172","99.02.25 縣都委會第396次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003849936346.pdf&mfkind_id=00038&mf_id=00038171","99.01.28 縣都委會第395次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003885539513.pdf&mfkind_id=00038&mf_id=00038170","98.12.24 縣都委會第394次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003874876348.pdf&mfkind_id=00038&mf_id=00038169","98.11.26 縣都委會第393次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003856032084.pdf&mfkind_id=00038&mf_id=00038168","98.10.26 縣都委會第392次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003893294690.pdf&mfkind_id=00038&mf_id=00038167","98.09.24 縣都委會第391次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003868144148.pdf&mfkind_id=00038&mf_id=00038166","98.08.20 縣都委會第390次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003864019022.pdf&mfkind_id=00038&mf_id=00038165","98.07.23 縣都委會第389次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003817744240.pdf&mfkind_id=00038&mf_id=00038164","98.06.25 縣都委會第388次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003876164414.pdf&mfkind_id=00038&mf_id=00038163","98.05.21 縣都委會第387次會議紀錄","PDF"
